ap_id,invoice_id,invoice_number,vendor_id,received_date,received_channel,amount,coded_entity,coded_account,coded_cost_center,po_id,status,approver,due_date,paid_date
AP-V008-001,INV-V008-001,ON-2207,V008,2026-04-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PAID,E016,2026-05-24,2026-05-19
AP-V008-002,INV-V008-002,ON-2214,V008,2026-05-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PAID,E016,2026-06-23,2026-06-18
AP-V001-001,INV-V001-001,DF-2207,V001,2026-06-02,ap@northstar.example,50000.0,NS-US,6100,CC-100,PO-1029,PAID,E010,2026-06-30,2026-06-26
AP-V004-001,INV-V004-001,LC-2207,V004,2026-06-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,PAID,E013,2026-06-30,2026-06-26
AP-V009-001,INV-V009-001,PC-2207,V009,2026-06-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,PAID,E017,2026-06-30,2026-06-26
AP-V016-001,INV-V016-001,NT-2207,V016,2026-06-02,ap@northstar.example,5350.0,NS-US,6600,CC-210,,PAID,E021,2026-06-30,2026-06-26
AP-V017-001,INV-V017-001,TW-2207,V017,2026-06-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,PAID,E022,2026-06-30,2026-06-26
AP-V003-001,INV-V003-001,HD-2207,V003,2026-06-03,ap@northstar.example,10200.0,NS-US,6120,CC-120,PO-1017,PAID,E012,2026-06-30,2026-06-27
AP-V005-001,INV-V005-001,PL-2207,V005,2026-06-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,PAID,E011,2026-06-30,2026-06-28
AP-V002-001,INV-V002-001,CH-2207,V002,2026-06-08,ap@northstar.example,36000.0,NS-US,6110,CC-110,PO-1011,PAID,E011,2026-07-03,2026-07-02
AP-V013-001,INV-V013-001,SG-2207,V013,2026-06-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,PAID,E011,2026-07-04,2026-07-03
AP-V007-001,INV-V007-001,ML-2207,V007,2026-06-20,ap@northstar.example,8500.0,NS-US,6210,CC-150,,PAID,E015,2026-07-18,2026-07-14
AP-V008-003,INV-V008-003,ON-2221,V008,2026-06-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PAID,E016,2026-07-24,2026-07-19
AP-V001-002,INV-V001-002,DF-2214,V001,2026-07-02,ap@northstar.example,50000.0,NS-US,6100,CC-100,PO-1029,PAID,E010,2026-07-30,2026-07-26
AP-V004-002,INV-V004-002,LC-2214,V004,2026-07-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,PAID,E013,2026-07-30,2026-07-26
AP-V009-002,INV-V009-002,PC-2214,V009,2026-07-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,PAID,E017,2026-07-30,2026-07-26
AP-V016-002,INV-V016-002,NT-2214,V016,2026-07-02,ap@northstar.example,5410.0,NS-US,6600,CC-210,,PAID,E021,2026-07-30,2026-07-26
AP-V017-002,INV-V017-002,TW-2214,V017,2026-07-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,PAID,E022,2026-07-30,2026-07-26
AP-V003-002,INV-V003-002,HD-2214,V003,2026-07-03,ap@northstar.example,10200.0,NS-US,6120,CC-120,PO-1017,PAID,E012,2026-07-30,2026-07-27
AP-V005-002,INV-V005-002,PL-2214,V005,2026-07-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,PAID,E011,2026-07-30,2026-07-28
AP-V002-002,INV-V002-002,CH-2214,V002,2026-07-08,ap@northstar.example,36000.0,NS-US,6110,CC-110,PO-1011,PAID,E011,2026-08-02,2026-08-01
AP-V013-002,INV-V013-002,SG-2214,V013,2026-07-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,PAID,E011,2026-08-03,2026-08-02
AP-V011-001,INV-V011-001,TB-2207,V011,2026-07-10,ap@northstar.example,27000.0,NS-US,6400,CC-170,,PAID,E017,2026-08-05,2026-08-03
AP-V008-004,INV-V008-004,ON-2228,V008,2026-07-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PAID,E016,2026-08-23,2026-08-18
AP-V001-003,INV-V001-003,DF-2221,V001,2026-08-02,ap@northstar.example,50000.0,NS-US,6100,CC-100,PO-1029,PAID,E010,2026-08-30,2026-08-26
AP-V004-003,INV-V004-003,LC-2221,V004,2026-08-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,PAID,E013,2026-08-30,2026-08-26
AP-V009-003,INV-V009-003,PC-2221,V009,2026-08-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,PAID,E017,2026-08-30,2026-08-26
AP-V016-003,INV-V016-003,NT-2221,V016,2026-08-02,ap@northstar.example,5395.0,NS-US,6600,CC-210,,PAID,E021,2026-08-30,2026-08-26
AP-V017-003,INV-V017-003,TW-2221,V017,2026-08-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,PAID,E022,2026-08-30,2026-08-26
AP-V003-003,INV-V003-003,HD-2221,V003,2026-08-03,ap@northstar.example,10200.0,NS-US,6120,CC-120,PO-1017,PAID,E012,2026-08-30,2026-08-27
AP-V010-001,INV-V010-001,SL-2207,V010,2026-08-03,ap@northstar.example,96000.0,NS-US,6120,CC-180,PO-1033,PAID,E018,2026-08-31,2026-08-27
AP-V012-001,INV-V012-001,PW-2207,V012,2026-08-03,ap@northstar.example,5400.0,NS-US,6500,CC-190,PO-0977,PAID,E019,2026-08-31,2026-08-27
AP-V005-003,INV-V005-003,PL-2221,V005,2026-08-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,PAID,E011,2026-08-30,2026-08-28
AP-V014-001,INV-V014-001,AF-2207,V014,2026-08-06,ap@northstar.example,13500.0,NS-US,6310,CC-160,PO-1019,PAID,E016,2026-09-02,2026-08-30
AP-V002-003,INV-V002-003,CH-2221,V002,2026-08-08,ap@northstar.example,36000.0,NS-US,6110,CC-110,PO-1011,PAID,E011,2026-09-02,2026-09-01
AP-V013-003,INV-V013-003,SG-2221,V013,2026-08-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,PAID,E011,2026-09-03,2026-09-02
AP-V007-002,INV-V007-002,ML-2214,V007,2026-08-20,ap@northstar.example,22300.0,NS-US,6210,CC-150,,PAID,E015,2026-09-17,2026-09-13
AP-V008-005,INV-V008-005,ON-2235,V008,2026-08-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PAID,E016,2026-09-23,2026-09-18
AP-V001-004,INV-V001-004,DF-2228,V001,2026-09-02,ap@northstar.example,50000.0,NS-US,6100,CC-100,PO-1029,PAID,E010,2026-09-30,2026-09-26
AP-V004-004,INV-V004-004,LC-2228,V004,2026-09-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,PAID,E013,2026-09-30,2026-09-26
AP-V009-004,INV-V009-004,PC-2228,V009,2026-09-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,PAID,E017,2026-09-30,2026-09-26
AP-V016-004,INV-V016-004,NT-2228,V016,2026-09-02,ap@northstar.example,5520.0,NS-US,6600,CC-210,,PAID,E021,2026-09-30,2026-09-26
AP-V017-004,INV-V017-004,TW-2228,V017,2026-09-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,PAID,E022,2026-09-30,2026-09-26
AP-V003-004,INV-V003-004,HD-2228,V003,2026-09-03,ap@northstar.example,10200.0,NS-US,6120,CC-120,PO-1017,PAID,E012,2026-09-30,2026-09-27
AP-V005-004,INV-V005-004,PL-2228,V005,2026-09-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,PAID,E011,2026-09-30,2026-09-28
AP-V002-004,INV-V002-004,CH-2228,V002,2026-09-08,ap@northstar.example,36000.0,NS-US,6110,CC-110,PO-1011,PAID,E011,2026-10-03,2026-10-02
AP-V013-004,INV-V013-004,SG-2228,V013,2026-09-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,PAID,E011,2026-10-04,2026-10-03
AP-V007-003,INV-V007-003,ML-2221,V007,2026-09-20,ap@northstar.example,4100.0,NS-US,6210,CC-150,,PAID,E015,2026-10-18,2026-10-14
AP-V008-006,INV-V008-006,ON-2242,V008,2026-09-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PAID,E016,2026-10-24,2026-10-19
AP-V001-005,INV-V001-005,DF-2235,V001,2026-10-02,ap@northstar.example,50000.0,NS-US,6100,CC-100,PO-1029,PAID,E010,2026-10-30,2026-10-26
AP-V004-005,INV-V004-005,LC-2235,V004,2026-10-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,PAID,E013,2026-10-30,2026-10-26
AP-V009-005,INV-V009-005,PC-2235,V009,2026-10-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,PAID,E017,2026-10-30,2026-10-26
AP-V012-002,INV-V012-002,PW-2214,V012,2026-10-02,ap@northstar.example,6950.0,NS-US,6500,CC-190,PO-1002,PAID,E019,2026-10-30,2026-10-26
AP-V016-005,INV-V016-005,NT-2235,V016,2026-10-02,ap@northstar.example,5460.0,NS-US,6600,CC-210,,PAID,E021,2026-10-30,2026-10-26
AP-V017-005,INV-V017-005,TW-2235,V017,2026-10-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,PAID,E022,2026-10-30,2026-10-26
AP-V003-005,INV-V003-005,HD-2235,V003,2026-10-03,ap@northstar.example,10200.0,NS-US,6120,CC-120,PO-1017,PAID,E012,2026-10-30,2026-10-27
AP-V005-005,INV-V005-005,PL-2235,V005,2026-10-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,PAID,E011,2026-10-30,2026-10-28
AP-V002-005,INV-V002-005,CH-2235,V002,2026-10-08,ap@northstar.example,36000.0,NS-US,6110,CC-110,PO-1011,PAID,E011,2026-11-02,2026-11-01
AP-V013-005,INV-V013-005,SG-2235,V013,2026-10-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,PAID,E011,2026-11-03,2026-11-02
AP-V008-007,INV-V008-007,ON-2249,V008,2026-10-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PAID,E016,2026-11-23,2026-11-18
AP-V001-006,INV-V001-006,DF-2242,V001,2026-11-02,ap@northstar.example,50000.0,NS-US,6100,CC-100,PO-1029,APPROVED,E010,2026-11-30,
AP-V004-006,INV-V004-006,LC-2242,V004,2026-11-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,APPROVED,E013,2026-11-30,
AP-V009-006,INV-V009-006,PC-2242,V009,2026-11-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,APPROVED,E017,2026-11-30,
AP-V016-006,INV-V016-006,NT-2242,V016,2026-11-02,ap@northstar.example,5430.0,NS-US,6600,CC-210,,APPROVED,E021,2026-11-30,
AP-V017-006,INV-V017-006,TW-2242,V017,2026-11-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,APPROVED,E022,2026-11-30,
AP-V003-006,INV-V003-006,HD-2242,V003,2026-11-03,ap@northstar.example,10200.0,NS-US,6120,CC-120,PO-1017,APPROVED,E012,2026-11-30,
AP-V005-006,INV-V005-006,PL-2242,V005,2026-11-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,APPROVED,E011,2026-11-30,
AP-V014-002,INV-V014-002,AF-2214,V014,2026-11-06,ap@northstar.example,13500.0,NS-US,6310,CC-160,PO-1019,APPROVED,E016,2026-12-03,
AP-V002-006,INV-V002-006,CH-2242,V002,2026-11-08,ap@northstar.example,36000.0,NS-US,6110,CC-110,PO-1011,APPROVED,E011,2026-12-03,
AP-V013-006,INV-V013-006,SG-2242,V013,2026-11-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,APPROVED,E011,2026-12-04,
AP-V006-001,INV-V006-001,BW-2207,V006,2026-11-15,ap@northstar.example,27750.0,NS-US,6200,CC-140,PO-1042,APPROVED,E014,2026-12-10,
AP-V007-004,INV-V007-004,ML-2228,V007,2026-11-20,ap@northstar.example,12750.0,NS-US,6210,CC-150,,APPROVED,E015,2026-12-18,
AP-V008-008,INV-V008-008,ON-2256,V008,2026-11-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PENDING_APPROVAL,E016,2026-12-24,
AP-V012-003,INV-V012-003,7731,V012,2026-12-01,ap@northstar.example,7850.0,NS-US,6500,CC-190,PO-1046,PENDING_APPROVAL,E019,2026-12-29,
AP-V001-007,INV-V001-007,DF-2249,V001,2026-12-02,ap@northstar.example,50000.0,NS-US,6100,CC-100,PO-1029,PENDING_APPROVAL,E010,2026-12-30,
AP-V004-007,INV-V004-007,LC-2249,V004,2026-12-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,PENDING_APPROVAL,E013,2026-12-30,
AP-V009-007,INV-V009-007,PC-2249,V009,2026-12-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,PENDING_APPROVAL,E017,2026-12-30,
AP-V017-007,INV-V017-007,TW-2249,V017,2026-12-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,PENDING_APPROVAL,E022,2026-12-30,
AP-V003-007,INV-V003-007,HD-2249,V003,2026-12-03,ap@northstar.example,10200.0,NS-US,6120,CC-120,PO-1017,PENDING_APPROVAL,E012,2026-12-30,
AP-V005-007,INV-V005-007,PL-2249,V005,2026-12-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,PENDING_APPROVAL,E011,2026-12-30,
