vendor_id,po_id,week_ending,service_month,hours,rate,approval_status,approved_by,approved_date
V006,PO-1042,2026-10-02,2026-10,34,185.0,APPROVED,E032,2026-10-05
V006,PO-1042,2026-10-09,2026-10,34,185.0,APPROVED,E032,2026-10-12
V006,PO-1042,2026-10-16,2026-10,30,185.0,APPROVED,E032,2026-10-19
V006,PO-1042,2026-10-23,2026-10,27,185.0,APPROVED,E032,2026-10-26
V006,PO-1042,2026-10-30,2026-10,25,185.0,APPROVED,E032,2026-11-02
V006,PO-1042,2026-11-06,2026-11,42,185.0,APPROVED,E032,2026-11-09
V006,PO-1042,2026-11-13,2026-11,39,185.0,APPROVED,E032,2026-11-16
V006,PO-1042,2026-11-20,2026-11,43,185.0,APPROVED,E032,2026-11-23
V006,PO-1042,2026-11-27,2026-11,36,185.0,APPROVED,E032,2026-11-30
V006,PO-1042,2026-12-04,2026-12,37,185.0,APPROVED,E032,2026-12-07
V006,PO-1042,2026-12-11,2026-12,31,185.0,APPROVED,E032,2026-12-14
V006,PO-1042,2026-12-18,2026-12,38,185.0,PENDING,,
V006,PO-1042,2026-12-25,2026-12,36,185.0,PENDING,,
V006,PO-1042,2027-01-01,2027-01,19,185.0,APPROVED,E032,2027-01-04
V006,PO-1042,2027-01-08,2027-01,20,185.0,APPROVED,E032,2027-01-11
V006,PO-1042,2027-01-15,2027-01,21,185.0,APPROVED,E032,2027-01-18
V006,PO-1042,2027-01-22,2027-01,17,185.0,APPROVED,E032,2027-01-25
V006,PO-1042,2027-01-29,2027-01,19,185.0,APPROVED,E032,2027-02-01
