vendor_id,date,metric,quantity,source
V002,2026-05-01,compute_hours,9028,usage-export
V002,2026-05-02,compute_hours,7459,usage-export
V002,2026-05-03,compute_hours,8260,usage-export
V002,2026-05-04,compute_hours,9065,usage-export
V002,2026-05-05,compute_hours,9181,usage-export
V002,2026-05-06,compute_hours,9399,usage-export
V002,2026-05-07,compute_hours,8293,usage-export
V002,2026-05-08,compute_hours,9192,usage-export
V002,2026-05-09,compute_hours,7613,usage-export
V002,2026-05-10,compute_hours,7971,usage-export
V002,2026-05-11,compute_hours,8044,usage-export
V002,2026-05-12,compute_hours,8619,usage-export
V002,2026-05-13,compute_hours,8034,usage-export
V002,2026-05-14,compute_hours,10010,usage-export
V002,2026-05-15,compute_hours,9691,usage-export
V002,2026-05-16,compute_hours,6320,usage-export
V002,2026-05-17,compute_hours,8387,usage-export
V002,2026-05-18,compute_hours,10436,usage-export
V002,2026-05-19,compute_hours,9582,usage-export
V002,2026-05-20,compute_hours,9477,usage-export
V002,2026-05-21,compute_hours,8218,usage-export
V002,2026-05-22,compute_hours,7826,usage-export
V002,2026-05-23,compute_hours,7390,usage-export
V002,2026-05-24,compute_hours,6359,usage-export
V002,2026-05-25,compute_hours,8308,usage-export
V002,2026-05-26,compute_hours,8450,usage-export
V002,2026-05-27,compute_hours,7868,usage-export
V002,2026-05-28,compute_hours,9060,usage-export
V002,2026-05-29,compute_hours,8996,usage-export
V002,2026-05-30,compute_hours,8080,usage-export
V002,2026-05-31,compute_hours,7384,usage-export
V002,2026-06-01,compute_hours,9813,usage-export
V002,2026-06-02,compute_hours,9416,usage-export
V002,2026-06-03,compute_hours,9875,usage-export
V002,2026-06-04,compute_hours,9296,usage-export
V002,2026-06-05,compute_hours,8790,usage-export
V002,2026-06-06,compute_hours,8658,usage-export
V002,2026-06-07,compute_hours,8653,usage-export
V002,2026-06-08,compute_hours,10378,usage-export
V002,2026-06-09,compute_hours,10004,usage-export
V002,2026-06-10,compute_hours,8895,usage-export
V002,2026-06-11,compute_hours,8653,usage-export
V002,2026-06-12,compute_hours,8821,usage-export
V002,2026-06-13,compute_hours,6562,usage-export
V002,2026-06-14,compute_hours,8135,usage-export
V002,2026-06-15,compute_hours,9135,usage-export
V002,2026-06-16,compute_hours,10396,usage-export
V002,2026-06-17,compute_hours,9096,usage-export
V002,2026-06-18,compute_hours,10710,usage-export
V002,2026-06-19,compute_hours,10398,usage-export
V002,2026-06-20,compute_hours,6404,usage-export
V002,2026-06-21,compute_hours,6877,usage-export
V002,2026-06-22,compute_hours,10576,usage-export
V002,2026-06-23,compute_hours,9332,usage-export
V002,2026-06-24,compute_hours,10774,usage-export
V002,2026-06-25,compute_hours,9127,usage-export
V002,2026-06-26,compute_hours,8210,usage-export
V002,2026-06-27,compute_hours,7826,usage-export
V002,2026-06-28,compute_hours,8163,usage-export
V002,2026-06-29,compute_hours,8766,usage-export
V002,2026-06-30,compute_hours,8261,usage-export
V002,2026-07-01,compute_hours,9203,usage-export
V002,2026-07-02,compute_hours,11039,usage-export
V002,2026-07-03,compute_hours,10440,usage-export
V002,2026-07-04,compute_hours,6864,usage-export
V002,2026-07-05,compute_hours,7162,usage-export
V002,2026-07-06,compute_hours,8530,usage-export
V002,2026-07-07,compute_hours,8411,usage-export
V002,2026-07-08,compute_hours,10554,usage-export
V002,2026-07-09,compute_hours,8753,usage-export
V002,2026-07-10,compute_hours,9862,usage-export
V002,2026-07-11,compute_hours,7630,usage-export
V002,2026-07-12,compute_hours,7033,usage-export
V002,2026-07-13,compute_hours,10364,usage-export
V002,2026-07-14,compute_hours,8617,usage-export
V002,2026-07-15,compute_hours,10108,usage-export
V002,2026-07-16,compute_hours,8575,usage-export
V002,2026-07-17,compute_hours,9460,usage-export
V002,2026-07-18,compute_hours,7084,usage-export
V002,2026-07-19,compute_hours,7217,usage-export
V002,2026-07-20,compute_hours,11059,usage-export
V002,2026-07-21,compute_hours,10572,usage-export
V002,2026-07-22,compute_hours,9121,usage-export
V002,2026-07-23,compute_hours,10809,usage-export
V002,2026-07-24,compute_hours,8849,usage-export
V002,2026-07-25,compute_hours,7506,usage-export
V002,2026-07-26,compute_hours,8576,usage-export
V002,2026-07-27,compute_hours,10102,usage-export
V002,2026-07-28,compute_hours,8528,usage-export
V002,2026-07-29,compute_hours,11113,usage-export
V002,2026-07-30,compute_hours,8856,usage-export
V002,2026-07-31,compute_hours,9003,usage-export
V002,2026-08-01,compute_hours,8218,usage-export
V002,2026-08-02,compute_hours,7206,usage-export
V002,2026-08-03,compute_hours,8915,usage-export
V002,2026-08-04,compute_hours,8280,usage-export
V002,2026-08-05,compute_hours,8328,usage-export
V002,2026-08-06,compute_hours,9731,usage-export
V002,2026-08-07,compute_hours,8763,usage-export
V002,2026-08-08,compute_hours,7827,usage-export
V002,2026-08-09,compute_hours,7304,usage-export
V002,2026-08-10,compute_hours,9362,usage-export
V002,2026-08-11,compute_hours,10803,usage-export
V002,2026-08-12,compute_hours,9449,usage-export
V002,2026-08-13,compute_hours,9708,usage-export
V002,2026-08-14,compute_hours,10539,usage-export
V002,2026-08-15,compute_hours,6873,usage-export
V002,2026-08-16,compute_hours,6808,usage-export
V002,2026-08-17,compute_hours,10659,usage-export
V002,2026-08-18,compute_hours,10401,usage-export
V002,2026-08-19,compute_hours,8782,usage-export
V002,2026-08-20,compute_hours,8612,usage-export
V002,2026-08-21,compute_hours,10177,usage-export
V002,2026-08-22,compute_hours,8600,usage-export
V002,2026-08-23,compute_hours,6905,usage-export
V002,2026-08-24,compute_hours,10778,usage-export
V002,2026-08-25,compute_hours,10584,usage-export
V002,2026-08-26,compute_hours,9790,usage-export
V002,2026-08-27,compute_hours,9272,usage-export
V002,2026-08-28,compute_hours,8367,usage-export
V002,2026-08-29,compute_hours,6545,usage-export
V002,2026-08-30,compute_hours,8651,usage-export
V002,2026-08-31,compute_hours,8763,usage-export
V002,2026-09-01,compute_hours,10901,usage-export
V002,2026-09-02,compute_hours,9522,usage-export
V002,2026-09-03,compute_hours,11269,usage-export
V002,2026-09-04,compute_hours,10568,usage-export
V002,2026-09-05,compute_hours,7708,usage-export
V002,2026-09-06,compute_hours,7417,usage-export
V002,2026-09-07,compute_hours,10950,usage-export
V002,2026-09-08,compute_hours,8942,usage-export
V002,2026-09-09,compute_hours,9434,usage-export
V002,2026-09-10,compute_hours,10454,usage-export
V002,2026-09-11,compute_hours,11357,usage-export
V002,2026-09-12,compute_hours,8499,usage-export
V002,2026-09-13,compute_hours,7675,usage-export
V002,2026-09-14,compute_hours,11557,usage-export
V002,2026-09-15,compute_hours,9359,usage-export
V002,2026-09-16,compute_hours,8781,usage-export
V002,2026-09-17,compute_hours,9560,usage-export
V002,2026-09-18,compute_hours,10104,usage-export
V002,2026-09-19,compute_hours,7133,usage-export
V002,2026-09-20,compute_hours,7419,usage-export
V002,2026-09-21,compute_hours,9867,usage-export
V002,2026-09-22,compute_hours,10493,usage-export
V002,2026-09-23,compute_hours,9136,usage-export
V002,2026-09-24,compute_hours,9846,usage-export
