entry_id,line_no,posting_date,period,legal_entity_id,account,cost_center,vendor_id,debit,credit,entry_type,reference,memo,reversal_of,posted_by
JE-00001,1,2026-05-01,2026-05,NS-US,6300,CC-160,V008,22500.0,0.0,INVOICE,INV-V008-001,OfficeNest Properties ON-2207,,E004
JE-00001,2,2026-05-01,2026-05,NS-US,2000,CC-160,V008,0.0,22500.0,INVOICE,INV-V008-001,OfficeNest Properties ON-2207,,E004
JE-00003,1,2026-05-31,2026-05,NS-US,6100,CC-100,V001,50000.0,0.0,INVOICE,INV-V001-001,DataForge Inc. DF-2207,,E004
JE-00003,2,2026-05-31,2026-05,NS-US,2000,CC-100,V001,0.0,50000.0,INVOICE,INV-V001-001,DataForge Inc. DF-2207,,E004
JE-00004,1,2026-05-31,2026-05,NS-US,6120,CC-130,V004,18000.0,0.0,INVOICE,INV-V004-001,Lumen CRM Corp. LC-2207,,E004
JE-00004,2,2026-05-31,2026-05,NS-US,2000,CC-130,V004,0.0,18000.0,INVOICE,INV-V004-001,Lumen CRM Corp. LC-2207,,E004
JE-00005,1,2026-05-31,2026-05,NS-US,6120,CC-170,V009,4150.0,0.0,INVOICE,INV-V009-001,PayCircle Inc. PC-2207,,E004
JE-00005,2,2026-05-31,2026-05,NS-US,2000,CC-170,V009,0.0,4150.0,INVOICE,INV-V009-001,PayCircle Inc. PC-2207,,E004
JE-00006,1,2026-05-31,2026-05,NS-US,6600,CC-210,V016,5350.0,0.0,INVOICE,INV-V016-001,Northwind Telecom NT-2207,,E004
JE-00006,2,2026-05-31,2026-05,NS-US,2000,CC-210,V016,0.0,5350.0,INVOICE,INV-V016-001,Northwind Telecom NT-2207,,E004
JE-00007,1,2026-05-31,2026-05,NS-UK,6300,CC-300,V017,6900.0,0.0,INVOICE,INV-V017-001,Thames Workspace Ltd TW-2207,,E004
JE-00007,2,2026-05-31,2026-05,NS-UK,2000,CC-300,V017,0.0,6900.0,INVOICE,INV-V017-001,Thames Workspace Ltd TW-2207,,E004
JE-00008,1,2026-05-31,2026-05,NS-US,6120,CC-120,V003,10200.0,0.0,INVOICE,INV-V003-001,Helpline Desk Co. HD-2207,,E004
JE-00008,2,2026-05-31,2026-05,NS-US,2000,CC-120,V003,0.0,10200.0,INVOICE,INV-V003-001,Helpline Desk Co. HD-2207,,E004
JE-00009,1,2026-05-31,2026-05,NS-US,6120,CC-110,V005,6400.0,0.0,INVOICE,INV-V005-001,PagerLoop Inc. PL-2207,,E004
JE-00009,2,2026-05-31,2026-05,NS-US,2000,CC-110,V005,0.0,6400.0,INVOICE,INV-V005-001,PagerLoop Inc. PL-2207,,E004
JE-00010,1,2026-05-31,2026-05,NS-US,6110,CC-110,V002,36000.0,0.0,ACCRUAL,ACR-V002-2026-05,Accrual CloudHarbor LLC service 2026-05,,E004
